BASE	ESQUEMA	TABLA	FILAS	LINEAS	ESTADO
dwh	dwh	fct_activacion_2006_01	33315	33316	OK
dwh	dwh	fct_activacion_2006_02	33751	33752	OK
dwh	dwh	fct_activacion_2006_03	37879	37880	OK
dwh	dwh	fct_activacion_2006_04	42643	42644	OK
dwh	dwh	fct_activacion_2006_05	57337	57338	OK
dwh	dwh	fct_activacion_2006_06	64330	64331	OK
dwh	dwh	fct_activacion_2006_07	71284	71285	OK
dwh	dwh	fct_activacion_2006_08	75320	75321	OK
dwh	dwh	fct_activacion_2006_09	80662	80663	OK
dwh	dwh	fct_activacion_2006_10	90754	90755	OK
dwh	dwh	fct_activacion_2006_11	101426	101427	OK
dwh	dwh	fct_activacion_2006_12	129202	129203	OK
dwh	dwh	fct_activacion_2007_01	85972	85973	OK
dwh	dwh	fct_activacion_2007_02	95791	95792	OK
dwh	dwh	fct_activacion_2007_03	106555	106556	OK
dwh	dwh	fct_activacion_2007_04	68219	68220	OK
dwh	dwh	fct_activacion_2007_05	68061	68062	OK
dwh	dwh	fct_activacion_2007_06	88366	88367	OK
dwh	dwh	fct_activacion_2007_07	109188	109189	OK
dwh	dwh	fct_activacion_2007_08	87565	87566	OK
dwh	dwh	fct_activacion_2007_09	80062	80063	OK
dwh	dwh	fct_activacion_2007_10	84366	84367	OK
dwh	dwh	fct_activacion_2007_11	82627	82628	OK
dwh	dwh	fct_activacion_2007_12	106522	106523	OK
dwh	dwh	fct_activacion_2008_01	84931	84932	OK
dwh	dwh	fct_activacion_2008_02	82077	82078	OK
dwh	dwh	fct_activacion_2008_03	81061	81062	OK
dwh	dwh	fct_activacion_2008_04	58263	58264	OK
dwh	dwh	fct_activacion_2008_05	64958	64959	OK
dwh	dwh	fct_activacion_2008_06	78229	78230	OK
dwh	dwh	fct_activacion_2008_07	90802	90803	OK
dwh	dwh	fct_activacion_2008_08	85462	85463	OK
dwh	dwh	fct_activacion_2008_09	63199	63200	OK
